Game_number,Result,Avg_team_Age,Match_light_type,Match_format,Bowlers_in_team,Wicket_keeper_in_team,All_rounder_in_team,First_selection,Opponent,Season,Audience_number,Offshore,Max_run_scored_1over,Max_wicket_taken_1over,Extra_bowls_bowled,Min_run_given_1over,Min_run_scored_1over,Max_run_given_1over,extra_bowls_opponent,player_highest_run,Players_scored_zero,player_highest_wicket
Game_1,1,18,Day,ODI,3,1,3,Bowling,Srilanka,Summer,9940,No,13,3,0,2,3,6,0,54,3,1
Game_2,0,24,Day,T20,3,1,4,Batting,Zimbabwe,Summer,8400,No,12,1,0,0,3,6,0,69,2,1
Game_3,1,24,Day and Night,T20,3,1,2,Bowling,Zimbabwe,Summer,13146,Yes,14,4,0,0,3,6,0,69,3,1
Game_4,0,24,Day,ODI,2,1,2,Bowling,Kenya,Summer,7357,No,15,4,0,2,3,6,0,73,3,1
Game_5,1,24,Night,ODI,1,1,3,Bowling,Srilanka,Summer,13328,No,12,4,0,0,3,6,0,80,3,1
Game_6,0,24,Night,ODI,3,1,4,Batting,Srilanka,Summer,11277,No,15,3,0,5,4,6,0,97,3,1
Game_7,1,24,Day and Night,T20,2,1,2,Batting,Zimbabwe,Summer,10983,Yes,12,3,0,0,4,6,0,70,3,1
Game_8,0,24,Night,ODI,3,1,2,Batting,Kenya,Summer,10598,No,16,3,0,4,1,6,0,33,3,1
Game_9,1,24,Day,ODI,3,1,3,Bowling,Srilanka,Summer,9940,No,13,3,0,2,3,6,0,54,3,1
Game_10,0,24,Day,T20,3,1,4,Batting,Zimbabwe,Summer,8400,No,12,1,0,0,3,6,0,69,2,1
Game_11,1,24,Day and Night,T20,3,1,2,Bowling,Zimbabwe,Summer,13146,Yes,14,4,0,0,3,6,0,69,3,1
Game_12,0,24,Night,ODI,2,1,2,Bowling,Kenya,Summer,7357,No,15,4,0,2,3,6,0,73,3,1
Game_13,1,24,Night,ODI,1,1,3,Bowling,Srilanka,Summer,13328,No,12,4,0,0,3,6,0,80,3,1
Game_14,0,24,Night,ODI,3,1,4,Batting,Srilanka,Summer,11277,No,15,3,0,5,4,6,0,97,3,1
Game_15,1,24,Day and Night,T20,2,1,2,Batting,Zimbabwe,Summer,10983,Yes,12,3,0,0,4,6,0,70,3,1
Game_16,0,24,Night,ODI,3,1,2,Batting,Kenya,Summer,10598,No,16,3,0,4,1,6,0,33,3,1
Game_17,1,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,11725,Yes,19,4,0,0,2,6,0,50,3,1
Game_18,0,24,Day,ODI,1,1,2,Batting,Srilanka,Summer,10381,No,14,4,1,3,3,6,0,79,3,1
Game_19,1,24,Day and Night,T20,1,1,3,Batting,Zimbabwe,Summer,16275,No,21,1,1,0,4,6,0,100,1,1
Game_20,1,24,Day,ODI,3,1,2,Bowling,Srilanka,Summer,7714,No,22,3,1,3,2,6,0,47,2,1
Game_21,1,24,Day,Test,2,1,1,Bowling,Australia,Summer,17948,No,12,3,1,3,4,6,0,52,2,1
Game_22,1,24,Day,T20,3,1,4,Bowling,Zimbabwe,Summer,14847,Yes,13,2,1,0,4,6,0,37,2,1
Game_23,0,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,17864,No,25,3,1,4,3,6,1,54,3,1
Game_24,1,24,Night,ODI,3,1,1,Batting,Kenya,Summer,13013,Yes,25,2,1,2,4,6,1,96,2,1
Game_25,0,24,Day,ODI,3,1,2,Batting,Kenya,Summer,20958,Yes,12,4,1,2,3,6,0,57,4,1
Game_26,1,27,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,11725,Yes,19,4,0,0,2,6,0,50,3,1
Game_27,0,24,Day,ODI,1,1,2,Batting,Srilanka,Summer,10381,No,14,4,1,3,3,6,0,79,3,1
Game_28,1,24,Day,T20,1,1,3,Batting,Zimbabwe,Summer,16275,No,21,1,1,0,4,6,0,100,1,1
Game_29,1,24,Day,ODI,3,1,2,Bowling,Srilanka,Summer,7714,No,22,3,1,3,2,6,0,47,2,1
Game_30,1,24,Day,Test,2,1,1,Bowling,Australia,Summer,17948,No,12,3,1,3,4,6,0,52,2,1
Game_31,1,24,Day,T20,3,1,4,Bowling,Zimbabwe,Summer,14847,Yes,13,2,1,0,4,6,0,37,2,1
Game_32,0,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,17864,No,25,3,1,4,3,6,1,54,3,1
Game_33,1,24,Night,ODI,3,1,1,Batting,Kenya,Summer,45000,Yes,25,2,1,2,4,6,1,96,2,1
Game_34,0,24,Day,ODI,3,1,2,Batting,Kenya,Summer,20958,Yes,12,4,1,2,3,6,0,57,4,1
Game_35,1,24,Day and Night,ODI,3,1,4,Batting,Srilanka,Summer,20482,Yes,18,2,1,5,3,6,0,66,2,1
Game_36,0,24,Day,ODI,3,1,4,Batting,Kenya,Summer,19852,No,13,4,1,0,4,6,0,83,2,1
Game_37,1,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,7063,Yes,11,4,1,5,3,6,0,32,3,1
Game_38,1,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,14308,No,13,4,2,0,2,6,2,49,2,1
Game_39,1,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,20811,No,19,2,1,2,3,6,0,84,3,1
Game_40,1,24,Day,ODI,3,1,4,Batting,Kenya,Summer,18200,Yes,15,1,1,2,3,6,0,98,2,1
Game_41,1,24,Day and Night,T20,3,1,4,Batting,Zimbabwe,Summer,16261,Yes,14,2,2,0,3,6,2,54,3,1
Game_42,0,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,21231,No,12,1,2,2,2,6,2,87,2,1
Game_43,0,24,Day,20-20,3,1,3,Bowling,Zimbabwe,Summer,18746,No,17,4,2,0,3,6,1,43,4,1
Game_44,0,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19481,No,19,1,2,0,3,6,2,31,3,1
Game_45,0,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,19096,No,11,1,2,0,3,6,2,54,3,1
Game_46,1,24,Day and Night,ODI,3,1,4,Batting,Srilanka,Summer,20482,Yes,18,2,1,5,3,6,0,66,2,1
Game_47,0,24,Day,ODI,3,1,4,Batting,Kenya,Summer,19852,No,13,4,1,0,4,6,0,83,2,1
Game_48,1,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,7063,Yes,11,4,1,5,3,6,0,32,3,1
Game_49,1,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,14308,No,13,4,2,0,2,6,2,49,2,1
Game_50,1,27,Day,ODI,3,1,1,Bowling,Srilanka,Summer,20811,No,19,2,1,2,3,6,0,84,3,1
Game_51,1,24,Day,ODI,3,1,4,Batting,Kenya,Summer,18200,Yes,15,1,1,2,3,6,0,98,2,1
Game_52,1,24,Day,T20,3,1,4,Batting,Zimbabwe,Summer,16261,Yes,14,2,2,0,3,6,2,54,3,1
Game_53,0,24,Day,ODI,3,1,1,Bowling,Srilanka,Summer,21231,No,12,1,2,2,2,6,2,87,2,1
Game_54,0,24,Day,T20,3,1,3,Bowling,Zimbabwe,Summer,18746,No,17,4,2,0,3,6,1,43,4,1
Game_55,0,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19481,No,19,1,2,0,3,6,2,31,3,1
Game_56,0,24,Day,T20,1,1,4,Bowling,Zimbabwe,Summer,19096,No,11,1,2,0,3,6,2,54,3,1
Game_57,0,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,8624,No,14,4,0,6,3,6,0,96,3,1
Game_58,0,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,22610,No,17,1,3,4,4,6,2,100,2,1
Game_59,1,17,Day and Night,T20,1,1,1,Batting,Zimbabwe,Summer,15218,Yes,11,3,3,0,3,6,2,99,2,1
Game_60,0,24,Night,T20,2,1,1,Bowling,Zimbabwe,Summer,18270,No,24,3,3,0,2,6,2,39,3,1
Game_61,1,24,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19012,No,15,4,1,0,3,6,0,90,4,1
Game_62,0,24,Day,ODI,1,1,3,Bowling,Zimbabwe,Summer,24129,No,11,3,3,2,3,6,2,49,3,1
Game_63,1,24,Day,ODI,1,1,4,Batting,Kenya,Summer,18851,No,19,1,1,3,2,6,0,65,3,1
Game_64,1,24,Day,ODI,3,1,3,Batting,Srilanka,Summer,9912,No,13,1,1,6,2,6,0,36,2,1
Game_65,0,24,Day,ODI,1,1,4,Batting,Kenya,Summer,14490,Yes,11,3,2,6,4,6,2,70,2,1
Game_66,1,24,Day and Night,ODI,2,1,1,Batting,Srilanka,Summer,18375,No,20,3,2,2,1,6,2,45,2,1
Game_67,0,24,Day,ODI,1,1,3,Bowling,Kenya,Summer,21819,No,18,3,3,2,3,6,2,97,3,1
Game_68,1,24,Day,T20,1,1,2,Bowling,Zimbabwe,Summer,18753,No,13,2,1,0,3,6,0,31,3,1
Game_69,0,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,16660,Yes,11,4,2,0,3,6,2,58,3,1
Game_70,0,24,Day,ODI,2,1,3,Bowling,Kenya,Summer,8624,No,14,4,0,6,3,6,0,96,3,1
Game_71,0,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,22610,No,17,1,3,4,4,6,2,100,2,1
Game_72,1,24,Day and Night,T20,1,1,1,Batting,Zimbabwe,Summer,15218,Yes,11,3,3,0,3,6,2,99,2,1
Game_73,0,24,Night,T20,2,1,1,Bowling,Zimbabwe,Summer,18270,No,24,3,3,0,2,6,2,39,3,1
Game_74,1,27,Day,T20,3,1,3,Batting,Zimbabwe,Summer,19012,No,15,4,1,0,3,6,0,90,4,1
Game_75,0,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,24129,No,11,3,3,0,3,6,2,49,3,1
Game_76,1,24,Day,ODI,1,1,4,Batting,Kenya,Summer,18851,No,19,1,1,3,2,6,0,65,3,1
Game_77,1,24,Day,ODI,3,1,3,Batting,Srilanka,Summer,9912,No,13,1,1,6,2,6,0,36,2,1
Game_78,0,24,Day,ODI,1,1,3,Batting,Kenya,Summer,14490,Yes,11,3,2,6,4,6,2,70,2,1
Game_79,1,24,Day and Night,ODI,2,1,1,Batting,Srilanka,Summer,18375,No,20,3,2,2,1,6,2,45,2,1
Game_80,0,24,Day,ODI,1,1,3,Bowling,Kenya,Summer,21819,No,18,3,3,2,3,6,2,97,3,1
Game_81,1,24,Day,T20,1,1,2,Bowling,Zimbabwe,Summer,45000,No,13,2,1,0,3,6,0,31,3,1
Game_82,0,24,Day,T20,1,1,3,Bowling,Zimbabwe,Summer,16660,Yes,11,4,2,0,3,6,2,58,3,1
Game_83,0,24,Night,ODI,2,1,4,Bowling,Srilanka,Winter,20545,Yes,13,2,1,2,2,6,0,96,4,1
Game_84,0,24,Day,ODI,3,1,2,Batting,Srilanka,Summer,20097,No,15,3,1,5,3,6,0,59,3,1
Game_85,0,24,Day,ODI,1,1,3,Bowling,Srilanka,Rainy,17661,No,14,3,3,2,3,6,1,100,3,1
Game_86,0,24,Day,ODI,1,1,3,Bowling,Kenya,Rainy,16261,No,24,1,2,6,3,6,2,80,3,1
Game_87,0,24,Day,ODI,3,1,4,Bowling,Kenya,Winter,16296,Yes,16,1,4,2,2,6,2,60,4,1
Game_88,0,24,Day,ODI,3,1,1,Batting,Kenya,Rainy,15708,No,13,4,2,1,3,6,1,43,3,1
Game_89,1,24,Day and Night,ODI,1,1,3,Bowling,Srilanka,Summer,27258,No,16,3,4,3,3,6,2,99,2,1
Game_90,0,24,Day,ODI,1,1,1,Bowling,Kenya,Rainy,19411,No,20,4,3,3,3,6,2,69,3,1
Game_91,0,24,Day,ODI,2,1,4,Bowling,England,Rainy,33425,No,22,1,4,2,1,6,2,33,2,2
Game_92,1,24,Day,ODI,1,1,2,Batting,England,Rainy,29197,Yes,19,1,4,3,4,6,2,34,3,2
Game_93,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17157,No,15,1,4,3,2,6,3,94,1,1
Game_94,1,24,Day and Night,ODI,4,1,3,Bowling,Kenya,Rainy,19971,Yes,11,2,1,5,3,6,0,48,2,1
Game_95,0,24,Night,ODI,2,1,2,Batting,Kenya,Rainy,19698,Yes,14,2,4,2,2,6,2,85,2,1
Game_96,1,24,Day,ODI,1,1,3,Batting,Srilanka,Rainy,16786,Yes,12,3,1,6,3,6,0,79,3,1
Game_97,1,24,Day,ODI,1,1,4,Bowling,Kenya,Summer,17304,Yes,23,1,1,2,3,6,0,75,3,1
Game_98,0,27,Day,ODI,3,1,4,Bowling,Kenya,Summer,23625,No,12,4,4,2,4,6,2,63,3,1
Game_99,0,24,Night,ODI,2,1,4,Bowling,Srilanka,Winter,20545,Yes,13,2,1,2,2,6,0,96,4,1
Game_100,0,24,Day,ODI,3,1,2,Batting,Srilanka,Summer,20097,No,15,3,1,5,3,6,0,59,3,1
Game_101,0,24,Day,ODI,1,1,3,Bowling,Srilanka,Rainy,17661,No,14,3,3,2,3,6,1,100,3,1
Game_102,0,24,Day,ODI,1,1,3,Bowling,Kenya,Rainy,16261,No,24,1,2,6,3,6,2,80,3,1
Game_103,0,24,Day,ODI,3,1,4,Bowling,Kenya,Winter,16296,Yes,16,1,4,2,2,6,2,60,4,1
Game_104,0,24,Day,ODI,3,1,1,Batting,Kenya,Rainy,15708,No,13,4,2,1,3,6,1,43,3,1
Game_105,1,24,Day and Night,ODI,1,1,3,Bowling,Srilanka,Summer,45000,No,16,3,4,3,3,6,2,99,2,1
Game_106,0,24,Day,ODI,1,1,1,Bowling,Kenya,Rainy,19411,No,20,4,3,3,3,6,2,69,3,1
Game_107,0,24,Day,ODI,2,1,4,Bowling,England,Rainy,33425,No,22,1,4,2,1,6,2,33,2,2
Game_108,1,24,Day,ODI,1,1,2,Batting,England,Rainy,29197,Yes,19,1,4,3,4,6,2,34,3,2
Game_109,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17157,No,15,1,4,3,2,6,3,94,1,1
Game_110,1,24,Day and Night,ODI,4,1,3,Bowling,Kenya,Rainy,19971,Yes,11,2,1,5,3,6,0,48,2,1
Game_111,0,24,Night,ODI,2,1,2,Batting,Kenya,Rainy,19698,Yes,14,2,4,2,2,6,2,85,2,1
Game_112,1,24,Day,ODI,1,1,3,Batting,Srilanka,Rainy,16786,Yes,17,3,1,6,3,6,0,79,3,1
Game_113,1,12,Day,ODI,1,1,4,Bowling,Kenya,Summer,17304,Yes,23,1,1,2,3,6,0,75,3,1
Game_114,0,24,Day,ODI,2,1,4,Bowling,Kenya,Summer,23625,No,12,4,4,2,4,6,2,63,3,1
Game_115,0,24,Day,T20,1,1,3,Bowling,Zimbabwe,Winter,16254,No,13,3,3,0,3,6,0,62,3,1
Game_116,0,24,Day,ODI,1,1,3,Bowling,Kenya,Winter,20328,No,12,3,4,2,2,6,2,83,3,1
Game_117,0,24,Day,ODI,3,1,1,Bowling,Kenya,Rainy,19733,No,16,1,5,3,4,6,2,58,4,1
Game_118,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17500,No,14,4,5,2,4,6,3,37,3,1
Game_119,0,24,Day,ODI,1,1,1,Bowling,Kenya,Summer,24535,No,18,4,2,3,3,6,2,79,4,1
Game_120,1,24,Day,ODI,3,1,3,Bowling,Srilanka,Rainy,11207,Yes,12,3,1,2,3,6,0,63,4,1
Game_121,0,24,Day,ODI,2,1,4,Bowling,Kenya,Rainy,8561,No,22,4,1,2,3,6,0,47,3,1
Game_122,0,27,Day,ODI,3,1,1,Bowling,Srilanka,Summer,15904,No,14,2,5,2,3,6,3,97,3,2
Game_123,0,24,Day,ODI,3,1,4,Bowling,Kenya,Rainy,14511,No,16,4,4,2,3,6,2,45,4,1
Game_124,1,24,Day,ODI,1,1,4,Bowling,Srilanka,Summer,27923,Yes,11,1,5,2,3,6,4,93,2,1
Game_125,1,24,Day,T20,3,1,3,Bowling,Zimbabwe,Winter,15925,Yes,21,2,3,0,3,6,2,99,3,1
Game_126,0,24,Day,ODI,1,1,3,Batting,Srilanka,Summer,23065,No,13,3,3,3,1,6,2,51,3,1
Game_127,0,24,Day,ODI,2,1,4,Bowling,Srilanka,Summer,18529,No,13,3,5,6,4,6,2,78,3,1
Game_128,1,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,12530,No,19,1,1,0,2,6,0,33,3,1
Game_129,0,24,Day,T20,1,1,3,Bowling,Zimbabwe,Winter,45000,No,13,3,3,0,3,6,0,62,3,1
Game_130,0,24,Day,ODI,1,1,3,Bowling,Kenya,Winter,20328,No,12,3,4,2,2,6,2,83,3,1
Game_131,0,24,Day,ODI,3,1,1,Bowling,Kenya,Rainy,19733,No,16,1,5,3,4,6,2,58,4,1
Game_132,0,24,Day,ODI,1,1,2,Bowling,Srilanka,Rainy,17500,No,14,4,5,2,4,6,3,37,3,1
Game_133,0,24,Day,ODI,1,1,1,Bowling,Kenya,Summer,24535,No,18,4,2,3,3,6,2,79,4,1
Game_134,1,24,Day,ODI,3,1,3,Bowling,Srilanka,Rainy,11207,Yes,21,3,1,2,3,6,0,63,4,1
Game_135,0,24,Day,ODI,2,1,4,Bowling,Kenya,Rainy,8561,No,22,4,1,2,3,6,0,47,3,1
Game_136,0,24,Day,ODI,1,1,1,Bowling,Srilanka,Summer,15904,No,14,2,5,2,3,6,3,97,3,2
Game_137,0,24,Day,ODI,3,1,4,Bowling,Kenya,Rainy,14511,No,16,4,4,2,3,6,2,45,4,1
Game_138,1,24,Day,ODI,1,1,4,Bowling,Srilanka,Summer,27923,Yes,11,1,5,2,3,6,4,93,2,1
Game_139,1,24,Day,T20,3,1,3,Bowling,Zimbabwe,Winter,15925,Yes,21,2,3,0,3,6,2,99,3,1
Game_140,0,24,Day,ODI,1,1,3,Batting,Srilanka,Summer,23065,No,13,3,3,3,1,6,2,51,3,1
Game_141,0,24,Day,ODI,2,1,4,Bowling,Srilanka,Summer,18529,No,13,3,5,6,4,6,2,78,3,1
Game_142,1,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,12530,No,19,1,1,0,2,6,0,33,3,1
Game_143,0,24,Night,ODI,2,1,1,Batting,England,Winter,28077,No,18,4,5,5,2,6,2,96,4,2
Game_144,1,24,Day,ODI,3,1,2,Bowling,Kenya,Rainy,16051,Yes,12,1,6,2,2,6,0,61,3,1
Game_145,0,24,Day,T20,2,1,1,Batting,South Africa,Rainy,34993,No,21,1,4,0,2,6,2,33,3,2
Game_146,0,27,Day,ODI,3,1,2,Bowling,Srilanka,Rainy,19418,No,12,3,6,2,3,6,3,52,3,1
Game_147,0,24,Day,T20,4,1,4,Batting,South Africa,Winter,29820,Yes,12,4,5,0,4,6,2,77,3,2
Game_148,1,24,Day,T20,1,1,1,Batting,Zimbabwe,Summer,22414,Yes,16,2,6,0,3,6,3,62,3,1
Game_149,0,24,Day and Night,T20,3,1,4,Bowling,Zimbabwe,Rainy,16800,No,13,3,3,0,3,6,2,38,3,1
